"Title","Release Year","Locations","Fun Facts","Production Company","Distributor","Director","Writer","Actor 1","Actor 2","Actor 3","Point","Longitude","Latitude","Analysis Neighborhood","Supervisor District","data_as_of","data_loaded_at"
"Murder in the First, Season 3","2016","600 Octavia Street",,"Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale","POINT (-122.4247155 37.7778237)","-122.4247155","37.7778237","Hayes Valley","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Terminator - Genisys","2015","Mission St., Embarcadero, and Front between Clay and Market",,"T5 Productions LLC","Paramount Pictures","Alan Taylor","James Cameron","Arnold Schwarzenegger","Jason Clarke",,"POINT (-122.3936136 37.7954425)","-122.3936136","37.7954425","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Terminator - Genisys","2015","Powell St at Geary St",,"T5 Productions LLC","Paramount Pictures","Alan Taylor","James Cameron","Arnold Schwarzenegger","Jason Clarke",,"POINT (-122.4082534 37.7873806)","-122.4082534","37.7873806","Tenderloin","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Faces of Death","1978",,,"F.O.D Productions","Aquarius Releasing","Conan Le Cilaire","Alan Black","Michael Carr",,,,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance- Season 1 ep103","2016","60 Potomac",,"TVM Productions","HULU","Michael Lehmann","Kem Nunn","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.4324326 37.7701803)","-122.4324326","37.7701803","Haight Ashbury","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Presidio","1988","Civic Center Plaza",,"Paramount Pictures","Paramount Pictures","Peter Hyams","Larry Ferguson","Sean Connery","Mark Harmon","Meg Ryan","POINT (-122.4176986 37.7794929)","-122.4176986","37.7794929","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Getting Even with Dad","1994","140 Maiden Lane",,"Metro-Goldwyn-Mayer (MGM)","Metro-Goldwyn-Mayer (MGM)","Howard Deutch","Tom S. Parker","Macaulay Culkin","Ted Danson",,"POINT (-122.4059124 37.7882738)","-122.4059124","37.7882738","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Bullitt","1968","Candlestick Park Exit, Highway 101",,"Warner Brothers / Seven Arts Seven Arts","Warner Brothers","Peter Yates","Alan R. Trustman","Steve McQueen","Jacqueline Bisset","Robert Vaughn",,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Tales of the City","2019","City Lights Books, 261 Columbus Ave",,"Universal Television LLC","Netflix","Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley","Laura Linney","Ellen Page","Murray Bartlett","POINT (-122.4065996 37.7976052)","-122.4065996","37.7976052","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Last Black Man in San Francisco","2019","900 Innes Ave","Boat dock","LBMISF, LLC","A24","Joe Talbot","Joe Talbot, Jimmie Fails, Rob Richert","Jimmie Fails","Jonathan Majors","Danny Glover","POINT (-122.3757745 37.7322136)","-122.3757745","37.7322136","Bayview Hunters Point","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Americana","2015","Romolo Place @ Fresno St.",,"Sutro Films LLC",,"Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","POINT (-122.4063952 37.7986067)","-122.4063952","37.7986067","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Big Trouble in Little China","1986",,,"Twentieth Century Fox Film Corporation","Twentieth Century Fox Film Corporation","John Carpenter","Gary Goldman","Kurt Russell","Kim Catrall","James Hong",,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Venom: Let There Be Carnage","2021","Palace of Fine Arts",,"SM Film Productions","Sony Pictures","Andy Serkis","Kelly Marcel","Tom Hardy","Michelle Wiliams","Woody Harrelson","POINT (-122.4484231 37.8029308)","-122.4484231","37.8029308","Marina","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Magnum Force","1973","Broadway Tunnel (Russian Hill)",,"The Malpaso Company","Warner Bros. Pictures","Ted Post","John Milius","Clint Eastwood","Hal Holbrook","Mitchell Ryan","POINT (-122.4149779 37.7966511)","-122.4149779","37.7966511","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"GirlBoss","2017","Fillmore and Waller",,"Hippolyta Productions, LLC","Netflix","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi","Kay Cannon","Britt Robertson","Ellie Reed","Amanda Rea","POINT (-122.4302866 37.7711831)","-122.4302866","37.7711831","Hayes Valley","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"On the Beach","1959",,,"Stanley Kramer Productions","United Artists","Stanley Kramer","John Paxton","Gregory Peck","Ava Gardner","Fred Astaire",,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
