"the_geom","OBJECTID","landmarkno","address","yearbuilt","Name","proptype","yeardes","desage","crit1","crit2","crit3","crit1txt","crit2txt","crit3txt","sigsum","context","style","archbuild","sigperson","ntlreg","doccontext","potcontext","legbus","culturaldist","potcultural","idencultural","culturalsum","cultural_1","rbrp","desdoc","pimlink","largephoto","thumbail","status","description"
"MULTIPOLYGON (((-122.430297218042 37.77413076942, -122.430373253922 37.774508771563, -122.430202442089 37.774530524364, -122.430126406209 37.774152521322, -122.430297218042 37.77413076942)))","361","316","660 OAK ST",,"Sacred Heart Parish Complex","Building","2,024",,"Y","Y","Y","Associated with historic events","Associated with individuals important to local, state, or national history","Significant for architecture or design or is the work of a master","Associated with historic events; Associated with individuals important to local, state, or national history; Significant for architecture or design or is the work of a master","African American","Romanesque Revival","Thomas J. Welch","Father Eugene Boyle",,,,,,,,,,"Report discusses Black Panther/United Farm workers history, but further evaluation needed to determine significance of association.","https://sfplanninggis.org/docs/landmarks_and_districts/LM316.pdf","https://sfplanninggis.org/pim?search=0828/012","https://sfplanninggis.org/Preservation/Landmarks/Large/316.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/316.jpg","Adopted","The Sacred Heart Parish Complex is significant as a distinctive and well-executed example of a Romanesque Revival-style Catholic parish grouping consisting of church, rectory, school and convent. The complex is additionally significant for its association with master architect Thomas J. Welsh. The Sacred Heart Parish Complex is additionally significant for its association with Father Eugene Boyle (1921-2016), pastor of the church from 1968 to 1972. A prominent and influential civil rights activist in northern California. The Sacred Heart Parish Complex is also significant for its association with the growth and development of the Western Addition and Catholic religious institutions in San Francisco in the late nineteenth and early twentieth centuries."
"MULTIPOLYGON (((-122.418071197428 37.754314226121, -122.418493711516 37.754288803186, -122.418513370695 37.754494186757, -122.418090855708 37.754519609692, -122.418089543597 37.754505908521, -122.4180790611 37.75439637919, -122.418073818052 37.754341610477, -122.418071197428 37.754314226121)))","362","315","2665 Mission Street","1,940","Grand Theater","Building","2,024","84","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","SF Neighborhood Movie Theaters","Streamline Moderne","S. Charles Lee and G. Albert Lansburgh",,,"SF Neighborhood Movie Theaters",,,"Calle 24",,,,,,"https://sfplanninggis.org/docs/landmarks_and_districts/LM315.pdf","https://sfplanninggis.org/pim?search=3637/023","https://sfplanninggis.org/Preservation/Landmarks/Large/315.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/315.jpg","Adopted","Grand Theater (2665 Mission Street), constructed in 1940, is significant as a former single-screen neighborhood movie theater designed by architects of merit G. Albert Landsburgh and S. Charles Lee in the Streamline Moderne style for prominent theater owners the Levin family."
"MULTIPOLYGON (((-122.430373253922 37.774508771563, -122.430407416469 37.774504421542, -122.430433874524 37.774635952787, -122.430228899244 37.774662055609, -122.430276668533 37.774899533287, -122.430011917116 37.774933292937, -122.429937681679 37.774564238149, -122.430031628457 37.774552275367, -122.430117035273 37.774541399866, -122.430202442089 37.774530524364, -122.430373253922 37.774508771563)))","358","316","735 FELL ST",,"Sacred Heart Parish Complex","Building","2,024",,"Y","Y","Y","Associated with historic events","Associated with individuals important to local, state, or national history","Significant for architecture or design or is the work of a master","Associated with historic events; Associated with individuals important to local, state, or national history; Significant for architecture or design or is the work of a master","African American","Romanesque Revival","Thomas J. Welch","Father Eugene Boyle",,,,,,,,,,"Report discusses Black Panther/United Farm workers history, but further evaluation needed to determine significance of association.","https://sfplanninggis.org/docs/landmarks_and_districts/LM316.pdf","https://sfplanninggis.org/pim?search=0828/022A","https://sfplanninggis.org/Preservation/Landmarks/Large/316.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/316.jpg","Adopted","The Sacred Heart Parish Complex is significant as a distinctive and well-executed example of a Romanesque Revival-style Catholic parish grouping consisting of church, rectory, school and convent. The complex is additionally significant for its association with master architect Thomas J. Welsh. The Sacred Heart Parish Complex is additionally significant for its association with Father Eugene Boyle (1921-2016), pastor of the church from 1968 to 1972. A prominent and influential civil rights activist in northern California. The Sacred Heart Parish Complex is also significant for its association with the growth and development of the Western Addition and Catholic religious institutions in San Francisco in the late nineteenth and early twentieth centuries."
"MULTIPOLYGON (((-122.418529709578 37.759013941041, -122.418615941073 37.759008733067, -122.418943618953 37.758988940787, -122.418986872746 37.759440786263, -122.418564338873 37.759466306325, -122.418144718804 37.75949164922, -122.418101471306 37.759039803744, -122.418271015994 37.759029564963, -122.418357248388 37.759024356989, -122.418443478084 37.759019149015, -122.418529709578 37.759013941041)))","322","214","2353 Mission Street","1,928","El Capitan Theater & Hotel","Commercial","1,996","68","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Great Constructions: Commercial, Theaters; Architectural Styles, Late 19th & Early 20th Revivals, Spanish Colonial Revival; Master Architect","Spanish Colonial
Revival","William H. Crim",,,,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM214.pdf","https://sfplanninggis.org/pim?search=3595/024","https://sfplanninggis.org/Preservation/Landmarks/Large/214.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/214.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.421422827701 37.778132832564, -122.421762043883 37.779810662632, -122.42044755521 37.779978075928, -122.420108367807 37.778300241363, -122.421422827701 37.778132832564)))","99","84","401 Van Ness Avenue","1,931","War Memorial Complex","Institutional","1,977","46","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Great Constructions: Public & Private Institutions, Recreation & Culture; Architectural Styles,Edwardian Revival and French Renaissance","Opera House-Classical Revival; War Memorial-French Renaissance","Arthur Brown, Jr.; G. Albert Lansburgh","Gaetano Merola","Yes - Part of NHL district",,"LGBTQ-location of Harvey Milk funeral; AAPI",,,"LGBTQ; Japanese",,"Landmark is associated with a social, ethnic, or cultural group","Y",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM84.pdf","https://sfplanninggis.org/pim?search=0786A/001","https://sfplanninggis.org/Preservation/Landmarks/Large/84.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/84.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.430276668533 37.774899533287, -122.430228899244 37.774662055609, -122.430433874524 37.774635952787, -122.430826743359 37.774585922602, -122.430874492863 37.774823299556, -122.430276668533 37.774899533287)))","359","316","554 FILLMORE ST",,"Sacred Heart Parish Complex","Building","2,024",,"Y","Y","Y","Associated with historic events","Associated with individuals important to local, state, or national history","Significant for architecture or design or is the work of a master","Associated with historic events; Associated with individuals important to local, state, or national history; Significant for architecture or design or is the work of a master","African American","Romanesque Revival","Thomas J. Welch","Father Eugene Boyle",,,,,,,,,,"Report discusses Black Panther/United Farm workers history, but further evaluation needed to determine significance of association.","https://sfplanninggis.org/docs/landmarks_and_districts/LM316.pdf","https://sfplanninggis.org/pim?search=0828/022","https://sfplanninggis.org/Preservation/Landmarks/Large/316.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/316.jpg","Adopted","The Sacred Heart Parish Complex is significant as a distinctive and well-executed example of a Romanesque Revival-style Catholic parish grouping consisting of church, rectory, school and convent. The complex is additionally significant for its association with master architect Thomas J. Welsh. The Sacred Heart Parish Complex is additionally significant for its association with Father Eugene Boyle (1921-2016), pastor of the church from 1968 to 1972. A prominent and influential civil rights activist in northern California. The Sacred Heart Parish Complex is also significant for its association with the growth and development of the Western Addition and Catholic religious institutions in San Francisco in the late nineteenth and early twentieth centuries."
"MULTIPOLYGON (((-122.430800283506 37.774454391357, -122.430826743359 37.774585922602, -122.430433874524 37.774635952787, -122.430407416469 37.774504421542, -122.430458660739 37.774497896061, -122.430800283506 37.774454391357)))","360","316","546-548 FILLMORE ST",,"Sacred Heart Parish Complex","Building","2,024",,"Y","Y","Y","Associated with historic events","Associated with individuals important to local, state, or national history","Significant for architecture or design or is the work of a master","Associated with historic events; Associated with individuals important to local, state, or national history; Significant for architecture or design or is the work of a master","African American","Romanesque Revival","Thomas J. Welch","Father Eugene Boyle",,,,,,,,,,"Report discusses Black Panther/United Farm workers history, but further evaluation needed to determine significance of association.","https://sfplanninggis.org/docs/landmarks_and_districts/LM316.pdf","https://sfplanninggis.org/pim?search=0828/021","https://sfplanninggis.org/Preservation/Landmarks/Large/316.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/316.jpg","Adopted","The Sacred Heart Parish Complex is significant as a distinctive and well-executed example of a Romanesque Revival-style Catholic parish grouping consisting of church, rectory, school and convent. The complex is additionally significant for its association with master architect Thomas J. Welsh. The Sacred Heart Parish Complex is additionally significant for its association with Father Eugene Boyle (1921-2016), pastor of the church from 1968 to 1972. A prominent and influential civil rights activist in northern California. The Sacred Heart Parish Complex is also significant for its association with the growth and development of the Western Addition and Catholic religious institutions in San Francisco in the late nineteenth and early twentieth centuries."
"MULTIPOLYGON (((-122.406629546616 37.797533575214, -122.40666529197 37.797710692195, -122.406443064995 37.797557403651, -122.406629546616 37.797533575214)))","262","228","261-271 Columbus Avenue","1,913","City Lights Bookstore","Small-scale retail
only","2,001","88","Y","Y","Y","Associated with historic events","Associated with individuals important to local, state, or national history","Significant for architecture or design or is the work of a master","Associated with historic events; Associated with individuals important to local, state, or national history; Significant for architecture or design or is the work of a master","Reconstruction Era; Commerical, NCDs; Italian American HCS; Counter-Culture HCS; Late 19th & Early 20th Century Revival Styles, Classical Revival; North Beach HCS","Classical Revival","Oliver Everett","Lawrence Ferlinghetti; Allen Ginsburgh; William Buroughs; Jack Keuroc",,,"Artistic Expression, Mural; LGBTQ HCS;","Yes",,,"Counter Culture; Italian","Landmark is associated with a social, ethnic, or cultural group","Y","Overview of San Francisco's ""cultural and artistic history"" are heavily skewed toward white and male artists.","https://sfplanninggis.org/docs/landmarks_and_districts/LM228.pdf","https://sfplanninggis.org/pim?search=0162/018","https://sfplanninggis.org/Preservation/Landmarks/Large/228.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/228.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.414037667904 37.753595588666, -122.413619634239 37.753668268276, -122.413616535175 37.753635541048, -122.413607116575 37.753536129089, -122.414029370759 37.753507984806, -122.414037667904 37.753595588666)))","49","276","2731-2735 Folsom Street","1,900","Gaughran House","Residential - SF","2,017","117","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Gold Rush to Earthquake; Residential, Streetcar Suburbanization; Late 19th and Early 20th Century Revival Styles, Beaux Arts","Beaux Arts","James Francis Dunn",,,,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM276.pdf","https://sfplanninggis.org/pim?search=3640/031","https://sfplanninggis.org/Preservation/Landmarks/Large/276.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/276.jpg","Adopted","Constructed in 1900 for James Gaughran, the original owner, the Gaughran House is characteristic of pre-1906 construction that occurred following improved transit routes in the Mission District, which is considered the first southerly ""streetcar suburb"" of San Francisco. With its rusticated ground floor, a tripartite composition, molded surrounds, exuberant surface ornamentation, and arched openings, Gaughran House is a notable work of local master architect James Francis Dunn (1874-1921) and a fine example of residential Beaux-Arts architecture. The building is clearly identifiable as a James Dunn building, especially with its intricately molded balcony topped by an elaborate wrought iron railing – a feature that Dunn frequently used in his apartment building designs."
"MULTIPOLYGON (((-122.427993813264 37.787622732403, -122.427917000369 37.787243874106, -122.428028053152 37.787229766441, -122.428122020615 37.787217826142, -122.428137413411 37.787293746909, -122.428152806207 37.787369667676, -122.428342936377 37.787345512785, -122.428388739748 37.787572332597, -122.428198811926 37.787596570226, -122.427993813264 37.787622732403)))","291","81","1881 Bush Street","1,895","Ohabai Shalome/Bush Street
Temple","Religious","1,976","81","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Gold Rush to Earthquake; Private & Public Institutional, Spirituality, Synagogues, Temples; Jewish; Japanese","Eclectic Moorish;
Romanesque","Moses J. Lyon",,,,"Jewish; Japanese; Counter culture",,,,"Jewish; Japanese","Landmark is associated with a social, ethnic, or cultural group","Y",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM81.pdf","https://sfplanninggis.org/pim?search=0674/033","https://sfplanninggis.org/Preservation/Landmarks/Large/81.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/81.jpg","Adopted","Coming Soon!"
