"street_address","city","state","zip_code","artist","year","number_of_districts","cultural_districts","supervisor_district","analysis_neighborhood","the_geom","data_as_of","data_loaded_at"
"1325 Valencia Street","San Francisco","California","94110","Cameron Moberg","2011/12","0",,"09","Mission","POINT (-122.420287275 37.751703643)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"1450 Noriega Street","San Francisco","California","94122","Vera Lowdermilk","2009/10","1","Sunset Chinese Cultural District","04","Sunset/Parkside","POINT (-122.479429181 37.754374659)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"365 10th Street","San Francisco","California","94103","Meagan Spendlove","2009/10","2","Leather & LGBTQ Cultural District;SOMA Pilipinas Cultural District","06","South of Market","POINT (-122.411598275 37.772140103)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"435 Duboce Avenue","San Francisco","California","94117","Cruptic c/o Ian Ross Gallery","2013/14","0",,"08","Castro/Upper Market","POINT (-122.429874429 37.769169949)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"7th Street & Market Street","San Francisco","California","94102","Apex","2010/11","0",,"06","Tenderloin","POINT (-122.412525472 37.780483457)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"285 Bartlett Street","San Francisco","California","94110","Michelle Fleck","2017/2018","0",,"09","Mission","POINT (-122.419287794 37.752500643)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"290 Pacific Avenue","San Francisco","California","94111","Nico Berry","2011/12","0",,"03","Financial District/South Beach","POINT (-122.400647151 37.797837299)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"776 Clay Street","San Francisco","California","94108","Francisco Aquino","2014/15","0",,"03","Chinatown","POINT (-122.405969744 37.794340252)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"423 Mount Vernon Avenue","San Francisco","California","94112","Rattlecan Blasters (Cameron Moberg and Aaron Vickery)","2010/11","0",,"11","Oceanview/Merced/Ingleside","POINT (-122.448936389 37.718354242)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"1 Lowell Street","San Francisco","California","94112","Vera Lowdermilk","2010/11","0",,"11","Excelsior","POINT (-122.446136747 37.711287005)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
