id,lat,lon,name,type,cuisine,opening_hours,phone,website,address,outdoor_seating,takeaway,delivery,wheelchair
node/61670779,37.7721448,-122.4310153,Woods Lowside,pub,,"Su,Mo-We 13:00-22:00; Th 13:00-23:00; Fr-Sa 13:00-24:00",+1 415 5485734,https://www.woodsbeer.com/lowside,"530, Haight Street, San Francisco",patio,,,yes
node/61671096,37.77191,-122.4312219,Toronado,pub,,11:00-02:00,+1-415-863-2276,http://www.toronado.com/,"547, Haight Street",,,,
node/61671382,37.7720543,-122.4317624,Molotov's,pub,,15:00-02:00,,,"582, Haight Street",,,,yes
node/61672275,37.7718891,-122.4314192,Noc Noc,pub,,,,https://www.nocnocs.com/,"557, Haight Street",,,,no
node/61673273,37.7718647,-122.4332636,Danny Coyles,pub,,Mo 16:00-22:00; Tu 14:00-22:00; We-Fr 14:00-26:00; Sa 07:00-26:00; Su 07:00-22:00,+1 415 5588375,http://www.dannycoyles.com/,"668, Haight Street, San Francisco, 94117",,,,
node/61674029,37.7721197,-122.4370577,The Page,pub,,Mo-Su 16:00-26:00,,,"298, Divisadero Street, San Francisco",,,,yes
node/61675193,37.7721282,-122.4227728,Martuni's,bar,,,+1-415-241-0205,,"4, Valencia Street, San Francisco, 94103",no,,,
node/61676294,37.7696815,-122.4487116,The Green Heron,bar,,,,,"1601, Haight Street, 94117",no,,,limited
node/61677300,37.7703394,-122.4451944,Magnolia SF,pub,,"Mo-Th,Su 12:00-24:00; Fr 12:00-01:00; Sa 11:00-01:00; kitchen closes at 22",,,"1398, Haight Street, San Francisco, 94117",,,,
node/61677421,37.7697699,-122.4480112,The Gold Cane,pub,,,,https://goldcanesf.com/,"1569, Haight Street",,,,yes
node/61678646,37.7700421,-122.4460642,Mary's,pub,,,,,"1437, Haight Street",,,,
node/61678786,37.7696002,-122.4493023,Aub Zam Zam,pub,,,,,"1633, Haight Street",,,,yes
node/61690921,37.7969638,-122.4056426,Comstock Saloon,bar,,,,,"155, Columbus Avenue, San Francisco",no,,,yes
node/61692662,37.7971431,-122.4058551,Mr. Bing's,pub,,,,,"201, Columbus Avenue, San Francisco",,,,
node/61692712,37.7940403,-122.4015526,Irish Times,pub,,,+1 800 800 8008,,"500, Sacramento Street",yes,,,yes
node/61692857,37.7977871,-122.4007139,Old Ship Saloon,pub,,,,,,,,,
node/148855851,37.6501154,-122.407916,Denny's,restaurant,american,24/7,,,,,,,
node/265506505,37.7529558,-122.4083276,Pops,pub,,06:00-02:00,,https://www.popssf.com/,"2800, 24th Street",yes,,,yes
node/267482501,37.5798967,-122.347185,Il Fornaio,restaurant,italian,,,,,,,,yes
node/267482798,37.5783216,-122.3490215,Barracuda,restaurant,japanese,"Mo 11:30-14:30, 17:00-22:00; Tu 11:30-02:30, 17:00-22:00; We-Th 11:30-14:30, 17:00-22:00; Fr-Sa 11:30-14:30, 17:00-23:00; Su 11:30-14:30, 17:00-22:00",+1 650-548-0300,https://barracudasushi.com/,"347, Primrose Road, Burlingame, 94010",,,,yes
node/271776230,37.6077487,-122.3975163,Terrace Cafe,restaurant,,,,,,,,,
node/272122818,37.5797811,-122.3350416,Celia's,restaurant,mexican,,,,,,,,
node/275723361,37.7649743,-122.4232405,Kilowatt,pub,,Mo-Fr 17:00-02:00; Sa-Su 15:00-02:00,+1 415 861 2595,https://kilowattbar.com/,"3160, 16th Street, San Francisco, 94103",,,,
node/276563211,37.596635,-122.3863052,Chipotle,fast_food,mexican,,+1 650-259-9301,https://locations.chipotle.com/ca/millbrae/135-s-el-camino-real,"135, South El Camino Real, Millbrae, 94030",,yes,,
node/281568453,37.5854596,-122.3654518,Subway,fast_food,sandwich,Mo-Fr 07:30-21:30; Sa 09:00-21:00; Su 09:00-20:00,+1 650-548-0601,https://restaurants.subway.com/united-states/ca/burlingame/1308-broadway,"1308, Broadway, Burlingame, 94010",,yes,,
node/281568877,37.5849154,-122.3660183,Broadway Grill Inc,restaurant,,,,,,,,,
node/281652616,37.766838,-122.4156342,The Wooden Nickel,pub,,,,,"1900, Folsom Street",,,,yes
node/281652933,37.7587423,-122.4156655,Shotwell's,pub,,,+1-415-648-4104,,"3349, 20th Street, San Francisco, 94110",,,,
node/281652962,37.7632862,-122.4079125,Verdi Club,pub,,,+1-415-861-9199,https://www.verdiclub.net/,"2424, Mariposa Street, 94110",,,,
node/286132370,37.7995505,-122.4370481,Mel's Drive-in,restaurant,diner,Su-Th 06:30-00:00; Fr-Sa 06:30-03:00,+1-415-921-2867,https://melsdrive-in.com/restaurant/mels-lombard-street/,94123,,,,yes
node/293573361,37.7923271,-122.4346848,Blue Bottle,cafe,,,,,,,,,yes
node/295082904,37.7649242,-122.4243046,Elixir,pub,,"Mo-We 16:00-22:00+; Th,Fr 16:00-26:00; Sa 12:00-26:00; Su 14:00-22:00+",+1 415 5521633,https://www.elixirsf.com/,"3200, 16th Street, San Francisco",,,,
node/299404847,37.5800244,-122.3329394,Wingstop,fast_food,wings,,+1 650-340-9464,,"858, North Delaware Street, San Mateo, 94401",,yes,,yes
node/299405088,37.5797659,-122.3333428,Starbucks,cafe,coffee_shop,,+1 650-685-8864,https://www.starbucks.com/store-locator/store/16578/peninsula-delaware-san-mat-842-north-delaware-street-san-mateo-ca-944011504-u,"842, North Delaware Street, San Mateo, 94401",,yes,,
node/302448211,37.7647708,-122.4224623,Dalva,pub,,,,,"3121, 16th Street",,,,
node/302448629,37.7680917,-122.4245857,Mezze and Mooore,restaurant,lebanese,Mo-Sa 12:00-21:00; Su off,+1 415 6545089,https://www.mezzeandmooore.com/,"198, Guerrero Street, San Francisco, 94103",,,,
node/317081652,37.7854639,-122.4071525,John's Grill Live Jazz,restaurant,steak;seafood,,+1 415-986-0069,https://www.johnsgrill.com/,"63, Ellis Street, San Francisco, 94102",yes,,,
node/317081666,37.7862572,-122.4086732,John Foley's Dueling Piano Bar,bar,,,,,,,,,
node/317124793,37.7814263,-122.387807,Frankie’s Java House,restaurant,,,,,,yes,,,
node/317124805,37.7817082,-122.3942534,Caffe Centro,restaurant,,Mo-Su 08:00-15:00,,,,,,,
node/317124806,37.7816118,-122.394383,South Park Cafe,restaurant,,"""by appointment""",,https://www.southpark.cafe/,"108, South Park",,,,
node/317124810,37.779906,-122.394321,Local Tap,pub,,,+1 415 814 2257,https://www.localtapsf.com/,"600, 3rd Street, 94107",,,,
node/317124812,37.7795947,-122.3951729,Brickhouse Cafe and Bar,cafe,,Tu-Fr 11:00-22:00; Sa 10:00-20:00; Su 10:00-16:00,,,,yes,,,limited
