id,lat,lon,name,type,operator,route_ref,network,wheelchair,shelter,bench,bus,tram,subway,light_rail
node/65289952,37.7713718,-122.4705494,Rose Garden,public_transport:stop_position,SFRP,,SFRP,,,,yes,,,
node/65295003,37.7364136,-122.4437414,O'Shaughnessy Boulevard & Malta Drive,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/65297793,37.731811,-122.395586,Topeka Avenue & Newhall Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/65300009,37.7641174,-122.3889536,3rd Street & Mariposa Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/65304156,37.738934,-122.4347385,Diamond Street & Moffitt Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/65306108,37.7223748,-122.3954639,Gilman Avenue & 3rd Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/65309090,37.7921372,-122.4810828,Lincoln Boulevard & Pershing Drive,public_transport:stop_position,San Francisco Municipal Railway,,Muni;PresidiGo,,,,yes,,,
node/65311254,37.7117969,-122.4650979,Alemany Boulevard & Victoria Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/65312897,37.7439768,-122.456486,Laguna Honda Boulevard & Idora Avenue,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/65313109,37.71931,-122.4258461,Dublin Street & La Grande Avenue,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/65323547,37.7417201,-122.4503858,Teresita Boulevard & Isola Way,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/65325890,37.8016397,-122.4567572,Anza Avenue & Lincoln Boulevard,public_transport:stop_position,Muni,,Muni,,,,yes,,,
node/65327515,37.747385,-122.396186,Evans Avenue & Napoleon Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/65329210,37.7271974,-122.4801272,280 Buckingham Way,public_transport:stop_position,San Francisco Municipal Railway,,Muni;SamTrans,,,,yes,,,
node/65334425,37.7421585,-122.4462607,O'Shaughnessy Boulevard & Del Vale Avenue,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/65337609,37.7324512,-122.3798054,Hudson Avenue & Ingalls Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/65342317,37.7229751,-122.444297,Ocean Avenue & San Jose Avenue,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/65344167,37.7612436,-122.4441179,Corbett Avenue & Danvers Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/65344751,37.7451397,-122.4040632,201 Bayshore Boulevard,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/65348383,37.7397298,-122.425604,Chenery Street & Randall Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/65349487,37.7347195,-122.4149401,Ellsworth Street & Crescent Avenue,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/65351018,37.732937,-122.385815,Newcomb Avenue & Keith Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/65351296,37.7099224,-122.392861,50 Thomas Mellon Circle,public_transport:stop_position,San Francisco Municipal Railway,14575,Muni,,,,yes,,,
node/65352897,37.7956012,-122.4670506,410 Washington Boulevard,public_transport:stop_position,Presidio Trust,,PresidiGo,,,,yes,,,
node/65356037,37.7632716,-122.4437813,Roosevelt Way & Lower Terrace,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/65357073,37.753823,-122.397375,967 Connecticut Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/65357336,37.7082779,-122.4123996,Schwerin Street & Velasco Avenue,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
