id,lat,lon,name,type,sport,access,opening_hours,surface,lit,wheelchair,operator,dog
node/358761561,37.6315175,-122.4943895,Sharp Park Beach,park,,,,,,,,
node/358765113,37.9188137,-122.324414,Booker T Anderson Eastshore Park,park,,,,,,,,
node/358767175,37.722374,-122.4908797,Harding Park,park,,,,,,,,
node/358776013,37.5889662,-122.413119,Portola Expedition Historical Marker,park,,,,,,,,
node/358792055,37.5604933,-122.4241405,San Francisco State Fish and Game Refuge,park,,,,,,,,
node/358803668,37.7254875,-122.4994167,Lake Merced Sports Center,park,,,,,,,,
node/358803681,37.7224769,-122.4136718,Louis Sutter Playground,park,,,,,,,,
node/358803706,37.7296529,-122.376915,Milton Myer Recreation Center,park,,,,,,,,
node/358804692,37.7307467,-122.4802503,Rolph-Nicol Playground,park,,,,,,,,
node/358820685,37.9157583,-122.3858048,George Miller Junior Memorial Regional Shoreline,park,,,,,,,,
node/358820747,37.9268689,-122.3313593,J F Kennedy Park,park,,,,,,,,
node/358820751,37.9156002,-122.3874037,John T Knox Shoreline,park,,,,,,,,
node/358823507,37.5654941,-122.5144218,Gray Whale Cove State Beach,park,,,,,,,,
node/358830331,37.6541012,-122.4666402,Lysett Tot Lot,park,,,,,,,,
node/358830335,37.6608971,-122.4667586,Norwood Tot Lot,park,,,,,,,,
node/358830408,37.6635446,-122.4091386,Hillside Recreation Center,park,,,,,,,,
node/358830433,37.6646557,-122.4138609,Paradise Valley Park,park,,,,,,,,
node/358830458,37.6324347,-122.4055277,Seventh Avenue and Walnut Park,park,,,,,,,,
node/358830464,37.6290803,-122.4049542,Seventh Avenue Park,park,,,,,,,,
node/358830511,37.6588227,-122.4174722,Elm Court Recreation Building,park,,,,,,,,
node/358830553,37.6123073,-122.4761943,Calera Creek Park,park,,,,,,,,
node/358830596,37.6260468,-122.4705297,Sweeny Ridge Reserve,park,,,,,,,,
node/358830601,37.5927149,-122.4752529,Tonini Field,park,,,,,,,,
node/358830622,37.6238239,-122.4058056,Belle Air Park,park,,,,,,,,
node/358830644,37.6227133,-122.4416401,Glenview Park,park,,,,,,,,
node/358830659,37.5766031,-122.3808053,Hoover Playground,park,,,,,,,,
node/358830662,37.6239242,-122.4072137,Lions Park,park,,,,,,,,
node/358830723,37.5763256,-122.3996949,Skyline Park,park,,,,,,,,
node/358831028,37.5827884,-122.3591194,Paloma Playground,park,,,,,,,,
node/358832509,37.8885373,-122.5238637,Bothin Marsh Preserve,park,,,,,,,,
node/358832549,37.9118698,-122.5030294,Granada Park,park,,,,,,,,
node/358832558,37.9296471,-122.5330314,Centennial Park,park,,,,,,,,
node/358857214,37.7769444,-122.4477778,Ulrich Field,park,,,,,,,,
node/358857215,37.7769444,-122.4480556,Benedetti Diamond,park,,,,,,,,
node/360959372,37.7504387,-122.4333527,,garden,,,,,,,,
node/368174394,37.7766628,-122.4546072,Koret Health And Recreation Center,sports_centre,,,,,,,,
node/392204795,37.7898626,-122.40233,24 Hour Fitness,fitness_centre,,,,,,,24Hour Fitness,
node/412109978,37.7920227,-122.42085,Live Fit Gym,fitness_centre,,,05:00-23:00,,,,,
node/417274764,37.8076795,-122.4213722,Dolphin Swimming & Boating Club (est. 1877),recreation_ground,,,,,,,,
node/417274812,37.8076852,-122.4210566,South End Rowing Club (est. 1873),recreation_ground,,,,,,,,
node/417275631,37.8074682,-122.42618,San Francisco Sea Scout Base,recreation_ground,,,,,,,,
node/417275907,37.806234,-122.425185,Aquatic Park Bocce Ball,sports_centre,,,,,,,,
node/417957202,37.7867992,-122.4212723,24 Hour Fitness,fitness_centre,,,24/7,,,no,,
node/427177762,37.780511,-122.4799941,Imagination Playhouse,playground,,customers,Mo-Fr 09:30-18:30,,,,,
node/497304176,37.7675537,-122.422008,Valencia Street Muscle,fitness_centre,,,,,,,,
node/571374368,37.739994,-122.420967,Good Prospect Community Garden,garden,,,,,,limited,,
node/586709251,37.7646725,-122.432169,Alex Fitness,sports_centre,,,,,,,,
node/663533939,37.7693496,-122.429287,CorePower Yoga,fitness_centre,yoga,,,,,,,
node/734841521,37.7606897,-122.4367154,,garden,,,,,,,,
node/968356991,37.7605228,-122.4216455,LiveFitGym Wellness Club,fitness_centre,,,"Mo-Su,PH 05:00-23:00",,,,,
node/996696401,37.767814,-122.393368,Bakar Fitness Center,fitness_centre,multi,,,,,yes,,
node/1206893699,37.7933814,-122.4030566,Planet Fitness,fitness_centre,,,,,,,,
node/1229112075,37.7361936,-122.4848346,,dog_park,,,,,,,,
node/1250280541,37.7844545,-122.4020158,Sister City Gardens,garden,,,,,,,,
node/1350922072,37.7721126,-122.4575307,Camellia Gardens,garden,,,,,,,,
node/1364959516,37.7721463,-122.4309073,VRV3 Studios,fitness_centre,pole_dancing,,,,,,,
node/1450184240,37.8205648,-122.369634,US Dept of Labor Job Corps Gym,fitness_centre,,private,,,,,,
node/1516960485,37.7677839,-122.4299091,Infinity Training Center,fitness_centre,,,,,,,,
node/1573655550,37.6651532,-122.4669211,24 Hour Fitness,fitness_centre,,,,,,,,
