id,lat,lon,name,shop_type,brand,opening_hours,phone,website,address,wheelchair,payment_methods
node/262936489,37.5945434,-122.3849757,Lunardi's,supermarket,,,,,,yes,
node/267618168,37.5811296,-122.3492848,,convenience,,,,,,,
node/267798771,37.568629,-122.32219,Hassett Ace Hardware,hardware,Ace Hardware,Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su 09:00-18:00,+1 650-348-1082,,"545, 1st Avenue, San Mateo, 94401",,
node/272764075,37.5860337,-122.3603913,,bicycle,,,,,,,
node/272778068,37.5830409,-122.3503492,,hairdresser,,,,,,,
node/272778087,37.5812112,-122.3494564,,dry_cleaning,,,,,,,
node/276558029,37.5868207,-122.364388,Walgreens,convenience,Walgreens,Mo-Sa 07:00-23:00; Su 08:00-22:00,+1-650-347-3026,https://www.walgreens.com/locator/walgreens-1160+broadway-burlingame-ca-94010/id=6655,"1160, Broadway, Burlingame, 94010",,
node/276563232,37.5966691,-122.387455,Lucky,supermarket,Lucky,,,,,yes,
node/293632937,37.7767776,-122.3940709,Safeway,supermarket,Safeway,Su-Sa 06:00-22:00,+1 415-633-1001,https://local.safeway.com/safeway/ca/san-francisco/298-king-st.html,"298, King Street, San Francisco, 94107",yes,
node/295086235,37.7681502,-122.424088,Box Dog,bicycle,,"Tu-Fr 10:00-18:00,Sa 11:00-17:00",+1-415- 431-9627,https://www.boxdogbikes.com/,"494, 14th Street, San Francisco, 94103",,
node/295086571,37.7681404,-122.4242673,Population,hairdresser,,,,,,,
node/299407735,37.5799133,-122.3331493,Holiday Cleaning,laundry,,,,,,yes,
node/299410365,37.5800085,-122.3347886,,dry_cleaning,,,,,,,
node/302447994,37.7717839,-122.4322204,Edo,hairdresser,,,,https://www.edosalon.com/,"601, Haight Street",yes,
node/317081452,37.7847476,-122.404842,Cole Fox Hardware,doityourself,Ace Hardware,Mo-Fr 08:00-18:00; Sa-Su 09:30-18:00,+1 415-200-3444,https://www.colehardware.com/stores/cole-fox-downtown/,"70, 4th Street, San Francisco, 94103",,
node/317124808,37.7802036,-122.3946773,South Park Cleaners,dry_cleaning,,Mo-Fr 08:00-18:00; Sa 10:00-17:00,,,"588, 3rd Street",,
node/317124818,37.7795817,-122.4008528,K&L Wine Merchants,wine,,,+1-415-896-1734,https://www.klwines.com/,"855, Harrison Street, San Francisco, 94107",,
node/319020853,37.7682865,-122.4223942,Carlin's Laundromat,laundry,,,,,"286;290, Valencia Street",,
node/323942585,37.5776106,-122.3463156,Ace Hardware,doityourself,Ace Hardware,Mo-Sa 09:00-18:00; Su 09:30-17:00,+1 650-340-1818,http://menlohardware.com/burlingame-ace-hardware/,"235, Park Road, Burlingame, 94010",,
node/332787289,37.7879858,-122.4495074,Insite Antiques & Design,antiques,,,,http://www.insitead.com/,"3450, Sacramento Street",,
node/332787292,37.7876727,-122.449908,Goodbyes Consignment,clothes,,,,,"3483, Sacramento Street",,
node/332787295,37.7879116,-122.4500541,Rose's Gift Gallery,jewelry;gift,,,,,"3484, Sacramento Street",,
node/332787297,37.7874223,-122.4513078,Bath Sense...and more,gift,,,,,,,
node/332787303,37.7863328,-122.452357,Ace Hardware,doityourself,Ace Hardware,Mo-Fr 08:00-19:00; Sa-Su 09:00-18:00,+1 415-751-5767,,"3545, California Street, San Francisco, 94118-1707",yes,
node/332787306,37.786265,-122.4528047,Calmart,supermarket,,,,,,yes,
node/334405554,37.5823627,-122.3517697,,laundry,,,,,,,
node/334406059,37.5825599,-122.3522589,,dry_cleaning,,,,,,,
node/338838759,37.5764114,-122.320687,,laundry,,,,,,,
node/338838917,37.5762482,-122.3209359,,hairdresser,,,,,,,
node/339269944,37.5759034,-122.3371644,,car,,,,,,,
node/339269945,37.5767741,-122.3392501,,car,,,,,,,
node/339269946,37.5770462,-122.3398252,,car,,,,,,,
node/339269950,37.5773319,-122.3394132,,car,,,,,,,
node/339275681,37.5819873,-122.3510299,,car_repair,,,,,,,
node/339275719,37.5824539,-122.3530345,,car_repair,,,,,,,
node/339278772,37.5778217,-122.3387437,,car,,,,,,,
node/343652950,37.581858,-122.3507037,,car_repair,,,,,,,
node/346584520,37.7582579,-122.4214,Reformation,clothes,,,,,"914, Valencia Street",,
node/358804965,37.7980337,-122.398657,The UPS Store,copyshop,The UPS Store,,,,"110, Pacific Avenue Mall",,
node/358805362,37.7388196,-122.413859,A.G. River Wood Windows and Doors,hardware,,,+1 415-648-8535,www.agriverinc.com,"900, Cortland Avenue, San Francisco, 94110",,
node/358831003,37.5863247,-122.3633045,Treasure Paws,second_hand,,,,,,,
node/359099330,37.7993396,-122.4017555,San Francisco Magazine,office,,,,,Vallejo Street,,
node/359100497,37.7994481,-122.4011064,Bleemer Family Chriopractic and Massage,massage,,,,,"145, Vallejo Street",,
node/360462977,37.7482363,-122.4336596,Angel's Deli & Market,convenience,,,,,,,
node/360463705,37.7484143,-122.4269955,Modern Market,convenience,,,,,"1401, Church Street, San Francisco",,
node/360950342,37.749733,-122.4315471,Chinese Medicine Works,chemist,,,,,,no,
node/360958312,37.7495768,-122.4340737,Castro Computer Services,electronics,,,,,,,
node/366705487,37.8007601,-122.4077296,Telegraph Hill Books,books,,Mo-Sa 10:00-17:00; Su off,+1 628 2551998,https://telegraphhillbooks.com/,"1501, Grant Avenue, San Francisco, 94133",,
node/384359194,37.7864444,-122.4146585,Star Market,convenience,,,,,"689, Geary Street",,
node/385009952,37.6038042,-122.395901,Trader Joe's,supermarket,Trader Joe's,Mo-Su 08:00-21:00,+1 650-259-9142,https://locations.traderjoes.com/ca/millbrae/170/,"765, Broadway, Milbrae, 94030",,
node/385010596,37.6031854,-122.395008,Walgreens,chemist,Walgreens,24/7,,https://www.walgreens.com/locator/walgreens-615+broadway-millbrae-ca-94030/id=625,"615, Broadway, Milbrae, 94030",,
node/386586638,37.7921294,-122.3981345,Jack’s Shoe Repair,shoe_repair,,08:00-15:00,+1 415-989-9434,,"388, Market Street",yes,
node/387227570,37.8052324,-122.4235144,North Point Market,convenience,,,,,"3098, Polk Street, San Francisco",,
node/387243372,37.7983661,-122.4236934,Chan's Trains and Hobbies,hobby,,,,,,,
node/387245716,37.7973822,-122.4234927,Best Wash In Town Launderette,laundry,,,,,"2352, Van Ness Avenue",,
node/387250476,37.796607,-122.4233582,Big Swingin' Cycles,bicycle,,,+1-415-441-6294,https://www.bigswingincyclestours.com/,"2260, Van Ness Avenue, San Francisco, 94109",,
node/388206447,37.8060401,-122.4206145,Blazing Saddles,bicycle,,,,,,,
node/388209980,37.7983996,-122.4187528,Hyde St. Laundry & Cleaners,laundry,,,,,"1900, Hyde Street",,
node/388210304,37.7981364,-122.4189919,Elegant Laundrette,laundry,,,,,"1871, Hyde Street, San Francisco",,
node/388223981,37.7948583,-122.4151786,Super Dry Cleaners,dry_cleaning,,,,,"1211, Jones Street",,
node/389391020,37.7857172,-122.4055238,Ross,department_store,Ross,08:30-19:30,+1 415-957-9222,https://www.rossstores.com/store-locator/,"799, Market Street, San Francisco, 94103",yes,
node/389404007,37.7811499,-122.3997789,Whole Foods Market,supermarket,Whole Foods Market,Mo-Su 08:00-22:00,+1 415-618-0066,https://www.wholefoodsmarket.com/stores/soma,"399, 4th Street, San Francisco, 94107",,
node/389414006,37.7774342,-122.3956735,The UPS Store,copyshop,The UPS Store,Mo-Fr 08:00-18:00; Sa 09:00-17:00,,,"660, 4th Street, 94107",,
node/389447030,37.7743826,-122.4074687,FedEx Office,copyshop,FedEx Office,Mo-Fr 09:00-19:00; Sa 10:00-18:00,,,"1155, Harrison Street",,
node/390197014,37.7766336,-122.419367,Massage Envy,massage,Massage Envy,,,,,,
node/393124616,37.7865961,-122.4151657,Elizabeth Hair Studio,hairdresser,,,+1 415 4740688,,"710, Geary Street",,
node/393124821,37.786508,-122.4158887,Masterpiece Tattoo,tattoo,,,,https://www.masterpiecetattoosf.com/,"766, Geary Street, San Francisco",,
node/393735420,37.7822809,-122.4504397,Abbey Carpet,carpet,,,,,"2900, Geary Boulevard, San Francisco, 94118",yes,
node/409474895,37.779503,-122.4936672,Pacific View Cleaners,laundry,,Mo-Tu 09:00-19:00; We-Th 12:00-19:00; Fr 09:00-19:00; Sa 09:00-17:00; Su off,,,"6907, Geary Boulevard",,
node/409475526,37.7793266,-122.4974094,Citilaundry Wash-Dry,laundry,,,,,"7253, Geary Boulevard, San Francisco, 94121",,
node/409475950,37.7791842,-122.4983021,Tamm Auto Service,car_repair,,,,,,,
node/409486133,37.7753903,-122.5017855,Zephyr Cleaners,laundry,,,,,"4001, Balboa Street",,
node/409486378,37.77536,-122.5024636,DD Cycles,bicycle,,,,,"4049, Balboa Street",,
node/409489771,37.775526,-122.5038883,Sparkle Laundry,laundry,,,,,,,
node/410846837,37.7913144,-122.4159004,Nob Hill Coin-op Laundry,laundry,,,,,,,
node/410847128,37.791467,-122.4159457,Drop & Go Laundry,dry_cleaning,,,+1 415-474-6387,,"1107, Leavenworth Street, San Francisco",,
node/410848847,37.792169,-122.4150421,Leroy Cleaning Center,laundry,,,,,"1357, Sacramento Street, San Francisco",,
node/411274501,37.804997,-122.411907,Water Lily Cleaners,laundry,,,+1 4153912850,,"2201, Powell Street, San Francisco",,
